file,lat,lon
IMG_4856.jpg,43.5460166666667,-5.69439444444444
IMG_4857.jpg,43.546025,-5.69438333333333
IMG_4858.jpg,43.5460361111111,-5.69438333333333
IMG_4859.jpg,43.5441138888889,-5.69176388888889
IMG_4860.jpg,43.5442305555556,-5.69152222222222
IMG_4861.jpg,43.5442666666667,-5.6914
IMG_4862.jpg,43.5443277777778,-5.69129722222222
IMG_4863.jpg,43.5443833333333,-5.69109444444444
IMG_4864.jpg,43.5444361111111,-5.69111388888889
IMG_4866.jpg,43.5445472222222,-5.69246111111111
IMG_4867.jpg,43.5446694444444,-5.692625
IMG_4868.jpg,43.5446083333333,-5.69269444444444
IMG_4870.jpg,43.5460194444444,-5.69430277777778
